edition,grade,term,unit id,unit name,sn,english,chinese,phonetic
1,1,1,1,School,1,book,书,/bʊk/
1,1,1,1,School,2,pencil,铅笔,/'pensl/
1,1,1,1,School,3,ruler,尺子,/'ru:lə(r)/
1,1,1,1,School,4,schoolbag,书包,/'sku:lbæg/
1,1,1,1,School,5,teacher,教师,/'ti:tʃə(r)/
1,1,1,1,School,6,I,我,/aɪ/
1,1,1,1,School,7,a,一个,/eɪ; ə/
1,1,1,1,School,8,an,一个（后跟元音）,/æn; ən/
1,1,1,1,School,9,have,有,/hæv; həv/
1,1,1,2,Face,1,ear,耳朵,/ɪə/, /ɪr/
1,1,1,2,Face,2,eye,眼睛,/aɪ/
1,1,1,2,Face,3,face,脸,/feɪs/
1,1,1,2,Face,4,mouth,嘴,/maʊθ/
1,1,1,2,Face,5,nose,鼻子,/nəʊz/
1,1,1,2,Face,6,is,是（第三人称单数）,/ɪz/
1,1,1,2,Face,7,my,我的,/maɪ/
1,1,1,2,Face,8,this,这；这个,/ðɪs/
1,1,1,3,Animals,1,bird,鸟,/bɜ:(r)d/
1,1,1,3,Animals,2,cat,猫,/kæt/
1,1,1,3,Animals,3,dog,狗,/dɒg/, /dɔ:g/
1,1,1,3,Animals,4,it,它,/ɪt/
1,1,1,3,Animals,5,monkey,猴子,/'mʌŋki/
1,1,1,3,Animals,6,tiger,老虎,/'taɪgə(r)/
1,1,1,3,Animals,7,what,什么,/wɒt/, /wɑ:t/
1,1,1,4,Numbers,1,eight,八,/eɪt/
1,1,1,4,Numbers,2,five,五,/faɪv/
1,1,1,4,Numbers,3,four,四,/fɔ:(r)/
1,1,1,4,Numbers,4,nine,九,/naɪn/
1,1,1,4,Numbers,5,one,一,/wʌn/
1,1,1,4,Numbers,6,seven,七,/'sevn/
1,1,1,4,Numbers,7,six,六,/sɪks/
1,1,1,4,Numbers,8,ten,十,/ten/
1,1,1,4,Numbers,9,three,三,/θri:/
1,1,1,4,Numbers,10,two,二,/tu:/
1,1,1,4,Numbers,11,are,是（复数；第二人称单数）,/ɑ:(r); ə(r)/
1,1,1,4,Numbers,12,how,多少,/haʊ/
1,1,1,4,Numbers,13,many,许多,/'meni/
1,1,1,4,Numbers,14,there,（表示存在或发生）,/ðeə(r)/, /ðer/
1,1,1,5,Colours,1,black,黑色；黑色的,/blæk/
1,1,1,5,Colours,2,blue,蓝色；蓝色的,/blu:/
1,1,1,5,Colours,3,green,绿色；绿色的,/gri:n/
1,1,1,5,Colours,4,red,红色；红色的,/red/
1,1,1,5,Colours,5,yellow,黄色；黄色的,/'jeləʊ/
1,1,1,5,Colours,6,colour,颜色,/'kʌlə/
1,1,1,6,Fruit,1,apple,苹果,/'æpl/
1,1,1,6,Fruit,2,banana,香蕉,/bə'nɑ:nə/, /bə'nænə/
1,1,1,6,Fruit,3,orange,橙色；橙色的,/'ɒrɪndʒ/, /'ɔ:rɪndʒ/
1,1,1,6,Fruit,4,pear,梨,/peə(r)/, /per/
1,1,1,6,Fruit,5,do,做；干,/du:, də/
1,1,1,6,Fruit,6,like,像……那样,/laɪk/
1,1,1,6,Fruit,7,no,不,/nəʊ/
1,1,1,6,Fruit,8,yes,是的,/jes/
1,1,1,6,Fruit,9,you,你；你们,/ju:/
1,1,2,1,Classroom,1,blackboard,黑板,/'blækbɔ:(r)d/
1,1,2,1,Classroom,2,chair,椅子,/tʃeə(r)/, /tʃer/
1,1,2,1,Classroom,3,desk,书桌,/desk/
1,1,2,1,Classroom,4,in,在......里,/ɪn/
1,1,2,1,Classroom,5,on,在......上,/ɒn/, /ɑ:n/
1,1,2,1,Classroom,6,under,在......下面,/'ʌndə(r)/
1,1,2,1,Classroom,7,the,放在名词前，特指人、事或物,/ði; ðə/
1,1,2,1,Classroom,8,where,哪里,/weə(r)/, /wer/
1,1,2,2,Room,1,bed,床,/bed/
1,1,2,2,Room,2,behind,在（或向）……后面,/bɪ'haɪnd/
1,1,2,2,Room,3,box,盒；箱,/bɒks/, /bɑ:ks/
1,1,2,2,Room,4,door,门,/dɔ:(r)/
1,1,2,2,Room,5,light,电灯,/laɪt/
1,1,2,2,Room,6,near,距离近,/nɪə/, /nɪr/
1,1,2,3,Toys,1,ball,球,/bɔ:l/
1,1,2,3,Toys,2,bear,熊,/beə/, /ber/
1,1,2,3,Toys,3,car,小汽车,/kɑ:(r)/
1,1,2,3,Toys,4,doll,洋娃娃,/dɑ:l/; /dɒl/
1,1,2,3,Toys,5,plane,飞机,/pleɪn/
1,1,2,3,Toys,6,train,火车,/treɪn/
